Breed, Affectionate With Family, Good With Young Children, Good With Other Dogs, Shedding Level, Coat Grooming Frequency, Drooling Level, Openness to Strangers, Playfulness Level, Watchdog/Protective Nature, Adaptability Level, Trainability Level, Energy Level, Barking Level, Mental Stimulation Needs, Coat Type, Coat Length 
Komondor,5,3,2,1,4,2,3,3,5,3,4,3,3,3,Corded ,Long 
Kromfohrlander,5,4,3,2,1,1,4,4,3,4,4,4,3,3,Wiry ,Short 
Kuvasz,5,3,3,3,2,2,3,3,5,4,5,3,3,3,Double ,Medium 
Labrador-Retriever,5,5,5,4,2,2,5,5,3,5,5,5,3,4,Double ,Short 
Lagotto-Romagnolo,5,3,5,1,2,2,4,4,3,4,4,4,2,4,Double Curly ,Medium 
Lakeland-Terrier,5,3,3,2,2,1,3,4,3,4,3,3,3,4,Wiry Double ,Short 
Lancashire-Heeler,5,5,5,3,1,1,4,4,3,4,4,4,4,4,Double ,Short 
Lapponian-Herder,5,3,3,3,2,2,3,3,4,4,4,4,4,4,Double ,Short 
Leonberger,5,5,3,4,4,3,5,3,4,4,5,3,3,4,Double ,Long 
Lhasa-Apso,5,3,3,1,3,1,3,3,5,5,3,3,3,3,Silky ,Long 
Lowchen,5,5,3,2,2,1,3,4,4,4,4,3,3,3,Wavy ,Long 
Maltese,5,3,3,1,4,1,3,3,4,4,3,3,3,3,Silky ,Long 
Manchester-Terrier-Standard,5,4,3,2,2,1,3,4,4,4,4,4,4,3,Smooth ,Short 
Manchester-Terrier-Toy,5,4,3,2,2,1,3,4,4,4,4,4,4,3,Smooth ,Short 
Mastiff,5,5,3,3,1,4,3,3,5,4,3,3,1,3,Double ,Short 
Miniature-American-Shepherd,5,5,5,3,3,2,3,4,3,4,5,5,3,5,Double ,Medium 
Miniature-Bull-Terrier,5,3,3,2,1,2,3,4,4,4,3,4,5,4,Smooth ,Short 
Miniature-Pinscher,5,3,4,3,1,1,3,4,5,4,3,5,5,5,Smooth ,Short 
Miniature-Schnauzer,5,5,3,3,4,2,3,4,4,5,5,3,5,4,Wiry Double ,Medium 
Mountain-Cur,3,3,3,3,1,2,3,3,3,3,3,5,3,3,Smooth ,Short 
Mudi,5,3,3,2,1,2,3,5,4,4,5,5,4,4,Curly ,Medium 
Neapolitan-Mastiff,3,3,3,3,2,5,3,2,5,3,3,2,1,3,Smooth ,Short 
Nederlandse-Kooikerhondje,5,3,3,3,2,2,4,3,3,4,5,4,3,4,Double Wavy ,Medium 
Newfoundland,5,5,5,3,2,5,5,3,5,4,3,3,1,3,Double ,Medium 
Norfolk-Terrier,5,5,3,3,2,1,5,4,4,4,3,4,4,4,Wiry Double ,Short 
Norrbottenspets,5,3,3,3,2,1,3,3,3,4,4,4,3,3,Double ,Short 
Norwegian-Buhund,5,3,3,3,2,1,3,3,4,4,3,4,4,4,Double ,Medium 
Norwegian-Elkhound,5,3,3,3,2,2,4,4,5,4,4,4,4,4,Double ,Medium 
Norwegian-Lundehund,3,3,3,3,2,1,3,3,3,3,3,3,3,3,Double ,Short 
Norwich-Terrier,5,5,3,3,2,1,5,4,4,4,3,4,4,4,Wiry Double ,Short 
Nova-Scotia-Duck-Tolling-Retriever,5,5,4,3,2,2,3,5,3,4,5,5,2,4,Double ,Medium 
Old-English-Sheepdog,5,5,3,3,4,3,3,4,4,4,4,3,3,4,Double ,Long 
Otterhound,5,3,3,2,2,3,4,3,3,4,4,3,5,3,Rough Double ,Medium 
Papillon,5,5,3,3,2,1,5,5,4,5,5,4,5,5,Silky ,Medium 
Parson-Russell-Terrier,5,3,5,2,2,1,3,4,3,4,4,5,3,4,Smooth Double ,Short 
Pekingese,5,3,3,3,3,1,3,4,4,4,3,3,1,3,Double ,Long 
Pembroke-Welsh-Corgi,5,3,4,4,2,1,4,4,5,4,4,4,4,4,Double ,Short 
Perro-de-Presa-Canario,2,1,1,3,1,4,1,1,5,2,3,2,3,3,Smooth ,Short 
Peruvian-Inca-Orchid,5,3,3,1,1,1,3,3,3,3,3,4,3,4,Hairless Smooth ,Short 
Petit-Basset-Griffon-Vendeen,4,5,5,2,2,2,4,4,4,4,3,4,5,4,Rough Double ,Long 
Pharaoh-Hound,5,3,5,3,2,1,3,3,3,3,4,4,3,4,Smooth ,Short 
Plott-Hound,5,3,5,2,1,2,4,3,4,4,4,4,4,3,Smooth ,Short 
Pointer,5,3,5,3,2,2,4,4,3,4,5,4,3,4,Smooth ,Short 
